pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
80,80,0,0,4294912817,
62,62,0,0,4294912817,
64,64,0,0,4294912817,
80,80,0,0,4294912817,
48,48,0,0,4294912817,
80,80,0,0,4294912817,
62,62,0,0,4294912817,
80,80,0,0,4294912817,
62,62,0,0,4294912817,
64,64,0,0,4294912817,
3,3,0,0,4294912818,
10,10,0,0,4294912818,
64,64,0,0,4294912818,
80,80,0,0,4294912818,
48,48,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
64,64,0,0,4294912818,
80,80,0,0,4294912818,
48,48,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
64,64,0,0,4294912818,
80,80,0,0,4294912818,
48,48,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
64,64,0,0,4294912818,
80,80,0,0,4294912818,
48,48,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
80,80,0,0,4294912818,
62,62,0,0,4294912818,
64,64,0,0,4294912818,
80,80,0,0,4294912818,
48,48,0,0,4294912818,
80,80,0,0,4294912818,
384,384,0,0,4294912818,
3,3,0,0,4294912819,
48,48,0,0,4294912819,
3,3,0,0,4294912819,
5,5,0,0,4294912819,
10,10,0,0,4294912819,
11,11,0,0,4294912819,
80,80,0,0,4294912819,
48,48,0,0,4294912819,
80,80,0,0,4294912819,
385,385,0,0,4294912819,
48,48,0,0,4294912819,
5,5,0,0,4294912819,
384,384,0,0,4294912819,
48,48,0,0,4294912819,
5,5,0,0,4294912819,
80,80,0,0,4294912819,
79,79,0,0,4294912819,
80,80,0,0,4294912819,
385,385,0,0,4294912819,
3,3,0,0,4294912820,
384,384,0,0,4294912820,
3,3,0,0,4294912821,
385,385,0,0,4294912821,
3,3,0,0,4294912822,
384,384,0,0,4294912822,
3,3,0,0,4294912823,
385,385,0,0,4294912823,
3,3,0,0,4294912824,
384,384,0,0,4294912824,
3,3,0,0,4294912825,
385,385,0,0,4294912825,
3,3,0,0,4294912826,
384,384,0,0,4294912826,
3,3,0,0,4294912827,
385,385,0,0,4294912827,
3,3,0,0,4294912828,
384,384,0,0,4294912828,
3,3,0,0,4294912829,
385,385,0,0,4294912829,
3,3,0,0,4294912830,
384,384,0,0,4294912830,
3,3,0,0,4294912831,
385,385,0,0,4294912831,
3,3,0,0,4294912832,
384,384,0,0,4294912832,
3,3,0,0,4294912833,
385,385,0,0,4294912833,
3,3,0,0,4294912834,
384,384,0,0,4294912834,
3,3,0,0,4294912835,
385,385,0,0,4294912835,
3,3,0,0,4294912836,
384,384,0,0,4294912836,
3,3,0,0,4294912837,
4,4,0,0,4294912837,
58,58,0,0,4294912837,
4,4,0,0,4294912837,
385,385,0,0,4294912837,
3,3,0,0,4294912838,
384,384,0,0,4294912838,
3,3,0,0,4294912839,
385,385,0,0,4294912839,
3,3,0,0,4294912840,
384,384,0,0,4294912840,
3,3,0,0,4294912841,
385,385,0,0,4294912841,
3,3,0,0,4294912842,
384,384,0,0,4294912842,
3,3,0,0,4294912843,
385,385,0,0,4294912843,
3,3,0,0,4294912844,
384,384,0,0,4294912844,
3,3,0,0,4294912845,
385,385,0,0,4294912845,
3,3,0,0,4294912846,
384,384,0,0,4294912846,
3,3,0,0,4294912847,
385,385,0,0,4294912847,
3,3,0,0,4294912848,
384,384,0,0,4294912848,
3,3,0,0,4294912849,
385,385,0,0,4294912849,
3,3,0,0,4294912850,
384,384,0,0,4294912850,
3,3,0,0,4294912851,
385,385,0,0,4294912851,
3,3,0,0,4294912852,
384,384,0,0,4294912852,
3,3,0,0,4294912853,
385,385,0,0,4294912853,
3,3,0,0,4294912854,
384,384,0,0,4294912854,
3,3,0,0,4294912855,
385,385,0,0,4294912855,
3,3,0,0,4294912856,
384,384,0,0,4294912856,
3,3,0,0,4294912857,
385,385,0,0,4294912857,
3,3,0,0,4294912858,
384,384,0,0,4294912858,
3,3,0,0,4294912859,
1,1,0,0,4294912859,
385,385,0,0,4294912859,
3,3,0,0,4294912860,
384,384,0,0,4294912860,
3,3,0,0,4294912861,
385,385,0,0,4294912861,
3,3,0,0,4294912862,
384,384,0,0,4294912862,
3,3,0,0,4294912863,
385,385,0,0,4294912863,
3,3,0,0,4294912864,
384,384,0,0,4294912864,
3,3,0,0,4294912865,
385,385,0,0,4294912865,
3,3,0,0,4294912866,
384,384,0,0,4294912866,
3,3,0,0,4294912867,
385,385,0,0,4294912867,
3,3,0,0,4294912868,
384,384,0,0,4294912868,
3,3,0,0,4294912869,
385,385,0,0,4294912869,
3,3,0,0,4294912870,
384,384,0,0,4294912870,
3,3,0,0,4294912871,
385,385,0,0,4294912871,
3,3,0,0,4294912872,
384,384,0,0,4294912872,
3,3,0,0,4294912873,
385,385,0,0,4294912873,
3,3,0,0,4294912874,
384,384,0,0,4294912874,
3,3,0,0,4294912875,
385,385,0,0,4294912875,
3,3,0,0,4294912876,
384,384,0,0,4294912876,
3,3,0,0,4294912877,
385,385,0,0,4294912877,
3,3,0,0,4294912878,
384,384,0,0,4294912878,
3,3,0,0,4294912879,
385,385,0,0,4294912879,
3,3,0,0,4294912880,
384,384,0,0,4294912880,
3,3,0,0,4294912881,
385,385,0,0,4294912881,
3,3,0,0,4294912882,
384,384,0,0,4294912882,
3,3,0,0,4294912883,
385,385,0,0,4294912883,
3,3,0,0,4294912884,
384,384,0,0,4294912884,
3,3,0,0,4294912885,
385,385,0,0,4294912885,
3,3,0,0,4294912886,
384,384,0,0,4294912886,
3,3,0,0,4294912887,
385,385,0,0,4294912887,
3,3,0,0,4294912888,
384,384,0,0,4294912888,
3,3,0,0,4294912889,
385,385,0,0,4294912889,
3,3,0,0,4294912890,
384,384,0,0,4294912890,
3,3,0,0,4294912891,
385,385,0,0,4294912891,
3,3,0,0,4294912892,
384,384,0,0,4294912892,
3,3,0,0,4294912893,
385,385,0,0,4294912893,
3,3,0,0,4294912894,
384,384,0,0,4294912894,
3,3,0,0,4294912895,
385,385,0,0,4294912895,
3,3,0,0,4294912896,
384,384,0,0,4294912896,
3,3,0,0,4294912897,
385,385,0,0,4294912897,
3,3,0,0,4294912898,
384,384,0,0,4294912898,
3,3,0,0,4294912899,
385,385,0,0,4294912899,
3,3,0,0,4294912900,
384,384,0,0,4294912900,
3,3,0,0,4294912901,
385,385,0,0,4294912901,
3,3,0,0,4294912902,
384,384,0,0,4294912902,
3,3,0,0,4294912903,
385,385,0,0,4294912903,
3,3,0,0,4294912904,
384,384,0,0,4294912904,
3,3,0,0,4294912905,
385,385,0,0,4294912905,
3,3,0,0,4294912906,
384,384,0,0,4294912906,
3,3,0,0,4294912907,
385,385,0,0,4294912907,
3,3,0,0,4294912908,
384,384,0,0,4294912908,
3,3,0,0,4294912909,
